Date,meter_52,meter_51,meter_sum
8/27/2020 0:00,2,397,3.3516
8/27/2020 0:05,2,397,3.3516
8/27/2020 0:10,2,393,3.318
8/27/2020 0:15,2,400,3.3768
8/27/2020 0:20,2,398,3.36
8/27/2020 0:25,2,393,3.318
8/27/2020 0:30,2,392,3.3096
8/27/2020 0:35,2,391,3.3012
8/27/2020 0:40,2,392,3.3096
8/27/2020 0:45,2,395,3.3348
8/27/2020 0:50,2,390,3.2928
8/27/2020 0:55,2,397,3.3516
8/27/2020 1:00,2,397,3.3516
8/27/2020 1:05,2,397,3.3516
8/27/2020 1:10,2,395,3.3348
8/27/2020 1:15,2,397,3.3516
8/27/2020 1:20,2,397,3.3516
8/27/2020 1:25,2,394,3.3264
8/27/2020 1:30,2,397,3.3516
8/27/2020 1:35,2,394,3.3264
8/27/2020 1:40,2,392,3.3096
8/27/2020 1:45,2,391,3.3012
8/27/2020 1:50,2,389,3.2844
8/27/2020 1:55,2,393,3.318
8/27/2020 2:00,2,393,3.318
8/27/2020 2:05,2,397,3.3516
8/27/2020 2:10,2,393,3.318
8/27/2020 2:15,2,397,3.3516
8/27/2020 2:20,2,395,3.3348
8/27/2020 2:25,2,394,3.3264
8/27/2020 2:30,2,393,3.318
8/27/2020 2:35,2,396,3.3432
8/27/2020 2:40,2,395,3.3348
8/27/2020 2:45,2,395,3.3348
8/27/2020 2:50,2,396,3.3432
8/27/2020 2:55,2,396,3.3432
8/27/2020 3:00,2,397,3.3516
8/27/2020 3:05,2,396,3.3432
8/27/2020 3:10,2,397,3.3516
8/27/2020 3:15,2,397,3.3516
8/27/2020 3:20,2,397,3.3516
8/27/2020 3:25,2,397,3.3516
8/27/2020 3:30,2,400,3.3768
8/27/2020 3:35,2,401,3.3852
8/27/2020 3:40,2,399,3.3684
8/27/2020 3:45,2,397,3.3516
8/27/2020 3:50,2,399,3.3684
8/27/2020 3:55,2,401,3.3852
8/27/2020 4:00,2,400,3.3768
8/27/2020 4:05,2,396,3.3432
8/27/2020 4:10,2,395,3.3348
8/27/2020 4:15,2,398,3.36
8/27/2020 4:20,2,397,3.3516
8/27/2020 4:25,2,398,3.36
8/27/2020 4:30,2,398,3.36
8/27/2020 4:35,2,399,3.3684
8/27/2020 4:40,2,396,3.3432
8/27/2020 4:45,2,395,3.3348
8/27/2020 4:50,2,394,3.3264
8/27/2020 4:55,2,393,3.318
8/27/2020 5:00,2,394,3.3264
8/27/2020 5:05,2,393,3.318
8/27/2020 5:10,2,395,3.3348
8/27/2020 5:15,2,394,3.3264
8/27/2020 5:20,2,389,3.2844
8/27/2020 5:25,2,391,3.3012
8/27/2020 5:30,2,392,3.3096
8/27/2020 5:35,2,393,3.318
8/27/2020 5:40,2,392,3.3096
8/27/2020 5:45,2,394,3.3264
8/27/2020 5:50,2,396,3.3432
8/27/2020 5:55,2,393,3.318
8/27/2020 6:00,2,395,3.3348
8/27/2020 6:05,2,394,3.3264
8/27/2020 6:10,2,394,3.3264
8/27/2020 6:15,2,395,3.3348
8/27/2020 6:20,2,396,3.3432
8/27/2020 6:25,2,397,3.3516
8/27/2020 6:30,2,402,3.3936
8/27/2020 6:35,2,398,3.36
8/27/2020 6:40,2,393,3.318
8/27/2020 6:45,2,394,3.3264
8/27/2020 6:50,2,392,3.3096
8/27/2020 6:55,2,391,3.3012
8/27/2020 7:00,2,394,3.3264
8/27/2020 7:05,2,394,3.3264
8/27/2020 7:10,2,391,3.3012
8/27/2020 7:15,2,392,3.3096
8/27/2020 7:20,2,394,3.3264
8/27/2020 7:25,2,385,3.2508
8/27/2020 7:30,2,391,3.3012
8/27/2020 7:35,2,392,3.3096
8/27/2020 7:40,2,395,3.3348
8/27/2020 7:45,2,391,3.3012
8/27/2020 7:50,2,389,3.2844
8/27/2020 7:55,2,383,3.234
8/27/2020 8:00,2,388,3.276
8/27/2020 8:05,2,391,3.3012
8/27/2020 8:10,2,394,3.3264
8/27/2020 8:15,2,398,3.36
8/27/2020 8:20,2,400,3.3768
8/27/2020 8:25,2,398,3.36
8/27/2020 8:30,2,399,3.3684
8/27/2020 8:35,2,399,3.3684
8/27/2020 8:40,2,399,3.3684
8/27/2020 8:45,2,399,3.3684
8/27/2020 8:50,2,399,3.3684
8/27/2020 8:55,2,399,3.3684
8/27/2020 9:00,2,399,3.3684
8/27/2020 9:05,2,399,3.3684
8/27/2020 9:10,2,399,3.3684
8/27/2020 9:15,2,399,3.3684
8/27/2020 9:20,2,399,3.3684
8/27/2020 9:25,2,399,3.3684
8/27/2020 9:30,2,392,3.3096
8/27/2020 9:35,2,397,3.3516
8/27/2020 9:40,2,398,3.36
8/27/2020 9:45,2,397,3.3516
8/27/2020 9:50,2,398,3.36
8/27/2020 9:55,2,394,3.3264
8/27/2020 10:00,2,393,3.318
8/27/2020 10:05,2,393,3.318
8/27/2020 10:10,2,394,3.3264
8/27/2020 10:15,2,398,3.36
8/27/2020 10:20,2,398,3.36
8/27/2020 10:25,2,401,3.3852
8/27/2020 10:30,2,406,3.4272
8/27/2020 10:35,2,407,3.4356
8/27/2020 10:40,2,392,3.3096
8/27/2020 10:45,2,396,3.3432
8/27/2020 10:50,2,393,3.318
8/27/2020 10:55,2,393,3.318
8/27/2020 11:00,2,407,3.4356
8/27/2020 11:05,2,401,3.3852
8/27/2020 11:10,2,401,3.3852
8/27/2020 11:15,2,400,3.3768
8/27/2020 11:20,2,394,3.3264
8/27/2020 11:25,2,395,3.3348
8/27/2020 11:30,2,403,3.402
8/27/2020 11:35,2,407,3.4356
8/27/2020 11:40,2,396,3.3432
8/27/2020 11:45,2,397,3.3516
8/27/2020 11:50,2,397,3.3516
8/27/2020 11:55,2,397,3.3516
8/27/2020 12:00,2,396,3.3432
8/27/2020 12:05,2,396,3.3432
8/27/2020 12:10,2,16396,137.7432
8/27/2020 12:15,2,16396,137.7432
8/27/2020 12:20,2,16396,137.7432
8/27/2020 12:25,2,16396,137.7432
8/27/2020 12:30,2,16396,137.7432
8/27/2020 12:35,2,16396,137.7432
8/27/2020 12:40,2,16396,137.7432
8/27/2020 12:45,2,16396,137.7432
8/27/2020 12:50,2,16396,137.7432
8/27/2020 12:55,2,16396,137.7432
8/27/2020 13:00,2,16396,137.7432
8/27/2020 13:05,2,16396,137.7432
8/27/2020 13:10,2,398,3.36
8/27/2020 13:15,2,-28928,-242.9784
8/27/2020 13:20,2,-12276,-103.1016
8/27/2020 13:25,2,20492,172.1496
8/27/2020 13:30,2,20492,172.1496
8/27/2020 13:35,2,20492,172.1496
8/27/2020 13:40,2,20492,172.1496
8/27/2020 13:45,2,20492,172.1496
8/27/2020 13:50,2,20492,172.1496
8/27/2020 13:55,2,20492,172.1496
8/27/2020 14:00,2,20492,172.1496
8/27/2020 14:05,2,20492,172.1496
8/27/2020 14:10,2,20492,172.1496
8/27/2020 14:15,2,403,3.402
8/27/2020 14:20,2,394,3.3264
8/27/2020 14:25,2,372,3.1416
8/27/2020 14:30,2,397,3.3516
8/27/2020 14:35,2,406,3.4272
8/27/2020 14:40,2,417,3.5196
8/27/2020 14:45,2,415,3.5028
8/27/2020 14:50,2,415,3.5028
8/27/2020 14:55,2,404,3.4104
8/27/2020 15:00,2,396,3.3432
8/27/2020 15:05,2,391,3.3012
8/27/2020 15:10,2,392,3.3096
8/27/2020 15:15,2,390,3.2928
8/27/2020 15:20,2,388,3.276
8/27/2020 15:25,2,385,3.2508
8/27/2020 15:30,2,381,3.2172
8/27/2020 15:35,2,382,3.2256
8/27/2020 15:40,2,384,3.2424
8/27/2020 15:45,2,385,3.2508
8/27/2020 15:50,2,390,3.2928
8/27/2020 15:55,2,398,3.36
8/27/2020 16:00,2,394,3.3264
8/27/2020 16:05,2,394,3.3264
8/27/2020 16:10,2,392,3.3096
8/27/2020 16:15,2,389,3.2844
8/27/2020 16:20,2,385,3.2508
8/27/2020 16:25,2,388,3.276
8/27/2020 16:30,2,387,3.2676
8/27/2020 16:35,2,385,3.2508
8/27/2020 16:40,2,390,3.2928
8/27/2020 16:45,2,392,3.3096
8/27/2020 16:50,2,399,3.3684
8/27/2020 16:55,2,391,3.3012
8/27/2020 17:00,2,390,3.2928
8/27/2020 17:05,2,393,3.318
8/27/2020 17:10,2,393,3.318
8/27/2020 17:15,2,397,3.3516
8/27/2020 17:20,2,397,3.3516
8/27/2020 17:25,2,397,3.3516
8/27/2020 17:30,2,397,3.3516
8/27/2020 17:35,2,397,3.3516
8/27/2020 17:40,2,397,3.3516
8/27/2020 17:45,2,397,3.3516
8/27/2020 17:50,2,397,3.3516
8/27/2020 17:55,2,397,3.3516
8/27/2020 18:00,2,397,3.3516
8/27/2020 18:05,2,397,3.3516
8/27/2020 18:10,2,397,3.3516
8/27/2020 18:15,2,397,3.3516
8/27/2020 18:20,2,397,3.3516
